species,troph,troph_se
equulites lineolatus,3.47,0.5
nemipterus bathybius,4,0.55
nemipterus hexodon,4.21,0.61
nemipterus marginatus,3.5,0.37
nemipterus nemurus,4.04,0.66
miichthys miiuy,3.5,0.37
otolithoides biauritus,4.05,0.63
protonibea diacanthus,3.93,0.69
ceratias holboelli,3.24,0.4
karalla daura,3.02,0.36
rudarius ercodes,3.09,0.36
pseudorhombus cinnamoneus,4.01,0.66
symphodus mediterraneus,3.1500000953674316,0.3718
gobius cobitis,2.97,0.39
symphodus rostratus,3.46,0.51
xyrichtys novacula,3.38,0.51
labrus merula,3.45,0.44
chelon ramada,2.34,0.2
parapristipoma trilineatum,3.4,0.45
okamejei hollandi,4.01,0.61
sebastes inermis,4.02,0.67
siganus guttatus,2.68,0.3
lateolabrax japonicus,3.32,0.41
mirapinna esau,3,0
oryzias setnai,2.43,0.22
branchiostegus japonicus,3.4,0.45
branchiostegus auratus,3.5,0.5
nuchequula nuchalis,2.97,0.25
doederleinia berycoides,3.88,0.56
ostorhinchus cyanosoma,3.58,0.56
acipenser ruthenus,3.6,0.43
thymallus thymallus,3.140000104904175,0.4218
eurypegasus draconis,3.1500000953674316,0.3641
pegasus volitans,3.5,0.37
siganus corallinus,2.46,0.23
siganus luridus,2.1700000762939453,0.1038
siganus argenteus,2.630000114440918,0.2225
siganus sutor,2,0
siganus fuscescens,2.2799999713897705,0.1334
siganus puellus,3,0
siganus javus,2.39,0.08
siganus puelloides,2.68,0
siganus punctatissimus,2,0
siganus punctatus,2,0
siganus stellatus,2.7,0.3
siganus doliatus,2,0
siganus virgatus,2.73,0.31
siganus lineatus,2,0
siganus randalli,2,0
siganus magnificus,2.66,0.29
siganus vulpinus,2.68,0.3
siganus unimaculatus,2.68,0.3
siganus uspi,2.68,0.3
siganus niger,2,0
huso dauricus,4.15,0.68
dentex congoensis,3.71,0.53
galeorhinus galeus,4.3,0.78
johnius carutta,4,0.61
priacanthus tayenus,3.93,0.61
amphiprion melanopus,2.680000066757202,0.067
amphiprion tricinctus,2.880000114440918,0.1736
diodon holocanthus,3.31,0.43
pareques iwamotoi,3.37,0.58
phoxinus phoxinus,3.27,0.48
leuciscus leuciscus,2.93,0.36
monopterus albus,2.880000114440918,0.2846
limia vittata,2.93,0.34
planiliza parsia,2,0
oryzias latipes,3.4,0.45
odontesthes bonariensis,2.57,0.24
poecilia sphenops,2.95,0.34
etroplus suratensis,2.91,0.26
acipenser baerii,3.185000014305115,0.5200904632849943
phalloceros caudimaculatus,2.7799999713897705,0.3127
coregonus peled,4.059999942779541,0.6251
perccottus glenii,3.63,0.54
scatophagus argus,2.99,0.35
sargocentron diadema,3.61,0.57
osteomugil cunnesius,2.41,0.21
notothenia coriiceps,2.75,0.35
platycephalus richardsoni,3.87,0.62
plotosus lineatus,3.09,0.39
pomadasys jubelini,3.33,0.5
sillago ciliata,3.36,0.47
acipenser gueldenstaedtii,3.63,0.52
neogobius fluviatilis,3.74,0.58
callorhinchus milii,3.6,0.29
scopelopsis multipunctatus,3,0
alburnus alburnus,2.700000047683716,0.2949
acanthurus nubilus,3.4,0.45
acanthurus thompsoni,3.64,0.41
acanthurus guttatus,2,0
acanthurus leucopareius,2,0
acanthurus nigroris,2,0
acanthurus nigrofuscus,2,0
acanthurus sohal,2,0
acanthurus pyroferus,2,0
acanthurus olivaceus,2.26,0.17
acanthurus maculiceps,2,0
acanthurus nigricauda,2.99,0.4
acanthurus blochii,2,0
geophagus brasiliensis,2.57,0.26
hemiculter leucisculus,2.75,0.32
aplocheilus panchax,3.2,0.4
lagocephalus sceleratus,3.73,0.62
saurida elongata,4.37,0.77
anablepsoides hartii,3.03,0.4
poecilia velifera,2.95,0.34
parachromis motaguensis,3.36,0.59
leucaspius delineatus,3.24,0.37
leuciscus aspius,4.46999979019165,0.8
misgurnus fossilis,3.4,0.45
sarda lineolata,4.2,0.6
mayaheros urophthalmus,3.85,0.57
clarias macrocephalus,3.7,0.58
ambassis gymnocephalus,3.91,0.56
cynoglossus puncticeps,3.2699999809265137,0.4393
nuchequula blochii,2.89,0.29
nuchequula gerreoides,2.74,0.21
leiognathus brevirostris,2.9600000381469727,0.32659999999999995
leiognathus ruconius,2.71,0.27
aphanius dispar,2.78,0.26
aristostomias lunifer,4.2,0.73
planiliza macrolepis,2.57,0.26
crenimugil buchanani,2.22,0.11
planiliza subviridis,2.74,0.3
planiliza planiceps,2,0
upeneus vittatus,3.87,0.55
otolithes ruber,3.6,0.59
plectropomus leopardus,4.66,0.96
sphyraena jello,4.29,0.68
terapon theraps,3.49,0.47
encheliophis homei,3.7300000190734863,0.6328
glossogobius giuris,3.57,0.59
aphanius fasciatus,2.66,0.27
ostorhinchus nigrofasciatus,3.54,0.5
ostorhinchus aureus,3.5,0.5
paracheilinus octotaenia,3.4,0.45
paracheilinus lineopunctatus,3.4,0.45
paracheilinus mccoskeri,3.4,0.45
paracheilinus carpenteri,3.4,0.45
paracheilinus filamentosus,3.4,0.45
paracheilinus angulatus,3.4,0.45
halichoeres melasmapomus,3.5,0.37
halichoeres chloropterus,3.37,0.4
labropsis alleni,3.34,0.61
labropsis xanthonota,2.91,0.55
labropsis manabei,3.34,0.61
labropsis australis,3.86,0.61
wetmorella nigropinnata,3.5,0.37
platycephalus bassensis,4.309999942779541,0.7495999999999999
alburnoides bipunctatus,2.89,0.35
aphanius iberus,3.43,0.45
salaria fluviatilis,3.5,0.37
salmo macrostigma,3.48,0.61
rita rita,3.67,0.57
heteropneustes fossilis,3.89,0.63
plectropomus maculatus,4.110000133514404,0.6990999999999999
spicara maena,3.5,0.45
anampses caeruleopunctatus,3.37,0.42
anampses meleagrides,3.5,0.37
anampses neoguinaicus,3.5,0.37
anampses geographicus,3.5,0.5
anampses twistii,3.5,0.37
acentrogobius caninus,3.5,0.37
trypauchen vagina,3.5,0.5
taenioides cirratus,3.859999895095825,0.5853
boleophthalmus boddarti,2,0
gobius auratus,2.96,0.35
gymnothorax undulatus,4.32,0.75
sargocentron punctatissimum,3.5,0.59
sargocentron caudimaculatum,3.89,0.67
sargocentron tiere,4.18,0.71
sargocentron violaceum,3.55,0.59
myripristis berndti,3.72,0.57
neoniphon sammara,3.369999885559082,0.5293
dendrochirus brachypterus,3.5,0.5
pterois radiata,3.57,0.59
pterois antennata,3.55,0.59
scorpaenodes parvipinnis,3.6,0.59
anampses cuvier,3.27,0.43
anampses lennardi,3.5,0.37
anampses elegans,3.5,0.37
anampses chrysocephalus,3.5,0.37
scorpaenopsis diabolus,4.2,0.73
anyperodon leucogrammicus,3.94,0.62
epinephelus merra,4.38,0.79
grammistes sexlineatus,3.98,0.66
sphaeramia orbicularis,3.64,0.51
carlarius heudelotii,3.77,0.62
carlarius latiscutatus,3.34,0.5
aulopus cadenati,4.2,0.73
balistes punctatus,3.36,0.43
batrachoides liberiensis,3.67,0.63
bembrops heterurus,3.99,0.66
ephippus goreensis,3.45,0.41
citharichthys stampflii,3.87,0.67
citharus linguatula,3.97,0.65
carlarius parkii,4.06,0.7
cynoglossus monodi,3.6,0.5
cynoglossus senegalensis,3.62,0.58
cynoponticus ferox,3.6,0.59
cyttopsis rosea,4.01,0.66
fontitrygon margarita,3.42,0.5
bodianus speciosus,3.6,0.5
dibranchus atlanticus,3.42,0.42
diretmus argenteus,3.4,0.45
elops lacerta,4.24,0.75
ephippion guttifer,3.55,0.53
epinephelus goreensis,3.94,0.64
gephyroberyx darwinii,3.940000057220459,0.6542
solitas gruveli,4.02,0.67
hoplostethus mediterraneus,3.49,0.53
pseudorhombus megalops,3.5,0.44
scarus flavipectoralis,2,0
scarus rivulatus,2.71,0.42
scarus globiceps,2,0
scarus prasiognathos,2,0
scarus dimidiatus,2,0
scarus spinus,2,0
scarus schlegeli,2.75,0.32
chlorurus bleekeri,2,0
chlorurus japanensis,2,0
chlorurus gibbus,2,0
scarus longipinnis,2,0
chromis atripes,2.64,0.29
chromis elerae,2.67,0.29
lophius vaillanti,4.5,0.8
malacocephalus laevis,3.79,0.56
malacocephalus occidentalis,3.16,0.36
mugil bananensis,2.77,0.32
mustelus mustelus,3.76,0.012
nezumia aequalis,3.21,0.38
paragaleus pectoralis,4.32,0.64
polydactylus quadrifilis,4.01,0.66
pomadasys incisus,3.8,0.52
pomadasys rogerii,3.55,0.5
pontinus kuhlii,4.05,0.7
promethichthys prometheus,4.18,0.57
pseudotolithus senegallus,3.89,0.67
pseudotolithus moorii,3.42,0.45
aetomylaeus bovinus,3.79,0.57
dipturus doutrei,3.83,0.66
raja maderensis,3.5,0.37
raja miraletus,3.8,0.74
raja straeleni,3.96,0.62
rhinobatos rhinobatos,3.99,0.57
rhynchobatus luebberti,4.5,0.8
scorpaena elongata,3.86,0.6
elops senegalensis,4.06,0.7
scorpaena stephanica,4.01,0.66
serranus accraensis,3.77,0.61
setarches guentheri,3.45,0.56
sphyraena afra,4.07,0.7
trachinus armatus,3.66,0.54
trigla lyra,3.509999990463257,0.516
uranoscopus cadenati,4.03,0.67
uranoscopus polli,4.2,0.73
zanobatus schoenleinii,3.55,0.44
astronesthes niger,3.78,0.62
bathygadus melanobranchus,3.3,0.42
chaetodon hoefleri,3.5,0.37
arripis trutta,3.7,0.58
cubiceps pauciradiatus,3.65,0.5
halosaurus ovenii,3.51,0.48
gonostoma atlanticum,3.03,0.13
harriotta raleighana,3.55,0.5
howella sherborni,3.1,0.3
lamprogrammus exutus,3.17,0.37
schedophilus maculatus,3.32,0.46
polymetme corythaeola,4.4,0.8
kaperangus microlepis,3.17,0.37
torpedo fuscomaculata,4.5,0.75
xenodermichthys copei,3.19,0.35
pagrus auriga,3.84,0.46
pagrus africanus,4.09,0.67
chilomycterus mauretanicus,3.6,0.5
alepocephalus rostratus,3.56,0.5
antennarius pardalis,3.98,0.68
spicara melanurus,3.5,0.5
chelidonichthys lastoviza,3.34,0.46
photostomias guernei,3.49,0.55
laemonema yarrellii,3.6,0.59
lophius budegassa,4.23,0.71
argyropelecus olfersii,3.36,0.41
borostomias antarcticus,3.6,0.54
avocettina infans,3.5,0.5
ectreposebastes imus,3.1,0.3
lophiodes kempi,4.5,0.8
cirrhilabrus cyanopleura,3.4,0.45
diproctacanthus xanthurus,3.34,0.61
labrichthys unilineatus,3.34,0.61
dascyllus aruanus,3.3499999046325684,0.4174
dascyllus melanurus,2.97,0.36
dascyllus trimaculatus,2.8,0.1
dascyllus reticulatus,3.13,0.31
chelon dumerili,2.68,0.32
cyclothone acclinidens,3.55,0.53
poromitra crassiceps,3.1,0.3
scopelengys tristis,3.1,0.3
chiloscyllium plagiosum,3.98,0.67
cheilopogon suttoni,3.94,0.64
cypselurus poecilopterus,3.4,0.45
exocoetus monocirrhus,3.08,0.16
prognichthys sealei,3.08,0.21
oligolepis acutipennis,3.95,0.65
pomadasys commersonnii,3.25,0.38
coryphaenoides armatus,3.62,0.52
borostomias elucens,4.03,0.67
astronesthes macropogon,3.68,0.58
torpedo marmorata,3.8,0.47
champsocephalus esox,3.94,0.65
lycodichthys dearborni,3.19,0.41
chaetodon miliaris,3.4,0.45
mystus vittatus,3.97,0.65
mystus gulio,4,0.5
channa orientalis,3.8299999237060547,0.5877
chelon richardsonii,2.38,0.16
channa punctata,3.84,0.7
labeo calbasu,2,0
stomias atriventer,3.98,0.65
kuhlia sandvicensis,3.78,0.56
epinephelus akaara,3.95,0.65
cypselurus opisthopus,3.95,0.64
borostomias panamensis,3.1,0.3
pterois volitans,3.44,0.51
cyclichthys orbicularis,3.63,0.59
sagamichthys abei,3.1,0.3
atherinomorus endrachtensis,3.4,0.45
gramma loreto,3.31,0.41
odontostomias micropogon,4.5,0.8
parvilux ingens,3.1,0.29
synbranchus marmoratus,2.76,0.51
genyagnus monopterygius,4.5,0.8
monopterus cuchia,3.75,0.64
sargocentron melanospilos,3.99,0.66
epinephelus fasciatus,3.85,0.57
epinephelus cyanopodus,3.97,0.65
epinephelus maculatus,4.13,0.56
symbolophorus californiensis,3.1,0.27
epinephelus morrhua,3.97,0.65
variola louti,4,0.67
alosa fallax,3.58999991416931,0.5961
chetia flaviventris,3.98,0.6
cephalopholis igarashiensis,4,0.66
epinephelus areolatus,3.9,0.66
rhabdosargus sarba,3.25,0.47
lampanyctus ritteri,3.37,0.45
stegostoma fasciatum,3.69,0.55
oxyeleotris marmorata,3.9,0.67
trachurus capensis,3.47,0.5
sparodon durbanensis,3.140000104904175,0.4374
echidna nebulosa,3.98,0.65
echidna polyzona,3.55,0.59
gymnothorax favagineus,4.24,0.64
gymnothorax flavimarginatus,4.16,0.72
gymnothorax margaritophorus,3.53,0.61
gymnothorax meleagris,3.98,0.7
gymnothorax pseudothyrsoideus,3.71,0.52
gymnothorax rueppelliae,4.01,0.69
synodus variegatus,4.5,0.8
taeniura lymma,3.62,0.54
urogymnus asperrimus,3.48,0.46
antennatus coccineus,4.2,0.73
antennatus nummifer,4.2,0.73
hemiramphus far,2.91,0.39
sargocentron cornutum,3.55,0.59
myripristis murdjan,3.1,0.3
probarbus jullieni,3.17,0.4
sphoeroides greeleyi,3.5,0.37
arothron hispidus,3.0999999046325684,0.3797
hemibagrus nemurus,3.62,0.59
halobatrachus didactylus,3.95,0.64
hydrolagus affinis,4,0.61
upeneus tragula,3.5,0.37
fistularia commersonii,4.34,0.91
cirrhitichthys falco,3.96,0.65
chaetodon kleinii,3.18,0.43
centropyge vrolikii,2.76,0.31
amphiprion clarkii,2.64,0.29
centropyge bicolor,2.97,0.34
cynoglossus bilineatus,3.5,0.37
cynoglossus cynoglossus,3.5,0.37
centropyge flavissima,2.75,0.33
centropyge bispinosa,2.75,0.29
labroides dimidiatus,3.85,0.63
neochelon falcipinnis,2.91,0.37
tetraodon lineatus,3.6,0.5
hoplostethus cadenati,3.17,0.37
chaetodon oxycephalus,3.48,0.49
alburnus chalcoides,3.37,0.41
antennarius striatus,4.2,0.73
amblyglyphidodon curacao,3.0999999046325684,0.2328
cheilodipterus quinquelineatus,3.5,0.53
chelmon rostratus,3.5,0.37
cirrhilabrus temminckii,3.4,0.45
coris variegata,3.5,0.37
chrysiptera rollandi,2.71,0.3
hemiglyphidodon plagiometopon,2,0
cynoglossus lida,3.33,0.41
rasbora daniconius,3.34,0.49
bodianus anthioides,3.44,0.44
bodianus axillaris,3.42,0.45
bodianus bimaculatus,3.52,0.49
bodianus mesothorax,3.22,0.36
choerodon anchorago,3.32,0.45
rhynchobatus djiddensis,3.83,0.56
chelidonichthys capensis,3.97,0.65
pachymetopon blochii,3.37,0.51
himantura uarnak,3.67,0.57
gymnura natalensis,3.89,0.65
acroteriobatus annulatus,3.35,0.48
acroteriobatus leucospilus,3.65,0.6
dichistius multifasciatus,3.56,0.5
elops machnata,4.04,0.7
chelon tricuspidens,2.48,0.16
muraenesox bagio,3.99,0.67
oplegnathus conwayi,2.7,0.24
plotosus limbatus,3.91,0.63
pomadasys olivaceus,2.64,0.14
johnius belangerii,3.27,0.32
neoscorpis lithophilus,2.75,0.25
epinephelus andersoni,4.01,0.61
epinephelus chlorostigma,3.99,0.67
epinephelus tukula,4.2,0.68
acanthopagrus berda,3.5,0.42
boopsoidea inornata,3.28,0.5
chrysoblephus anglicus,3.42,0.45
chrysoblephus puniceus,3.5,0.4558
cymatoceps nasutus,3.56,0.4
pachymetopon grande,2.95,0.34
polysteganus praeorbitalis,4.5,0.8
rhabdosargus holubi,3.2200000286102295,0.4864
spondyliosoma emarginatum,2.76,0.34
bolbometopon muricatum,2.67,0.41
cetoscarus bicolor,2,0
hipposcarus longiceps,2.73,0.25
scarus altipinnis,2,0
chlorurus bowersi,2.74,0.25
scarus chameleon,2,0
scarus festivus,2,0
scarus forsteni,2,0
scarus frenatus,2,0
chlorurus frontalis,2,0
scarus ghobban,2,0
scarus niger,2,0
scarus psittacus,2,0
scarus quoyi,2,0
scarus rubroviolaceus,2,0
chlorurus sordidus,2.62,0.29
chaetodon auriga,3.130000114440918,0.40880000000000005
chaetodon baronessa,3.34,0.61
chaetodon bennetti,3.06,0.46
chaetodon burgessi,3.5,0.37
chaetodon citrinellus,2.98,0.37
chaetodon ephippium,3.01,0.43
chaetodon lineolatus,3.39,0.55
chaetodon lunula,2.99,0.39
chaetodon melannotus,3.47,0.56
chaetodon mertensii,2.95,0.41
chaetodon meyeri,3.34,0.61
chaetodon ocellicaudus,3.34,0.61
chaetodon octofasciatus,2.64,0.4
chaetodon punctatofasciatus,2.92,0.39
chaetodon quadrimaculatus,3.55,0.44
chaetodon rafflesii,3.4,0.45
chaetodon reticulatus,2.63,0.4
chaetodon semeion,2.73,0.25
chaetodon speculum,3.34,0.61
chaetodon tinkeri,3.41,0.48
chaetodon trifascialis,3.34,0.61
chaetodon trifasciatus,3.34,0.61
chaetodon ulietensis,2.71,0.24
chaetodon unimaculatus,3.21,0.42
chaetodon vagabundus,2.9,0.4
coradion chrysozonus,2.81,0.18
forcipiger flavissimus,3.380000114440918,0.4204
forcipiger longirostris,3.5,0.5
hemitaurichthys polylepis,3.4,0.45
hemitaurichthys thompsoni,3.4,0.45
heniochus acuminatus,3.45,0.41
heniochus chrysostomus,3.34,0.61
heniochus monoceros,3.5,0.37
heniochus singularius,3.55,0.44
heniochus varius,3.5,0.37
pseudodax moluccanus,2.82,0.26
oxycheilinus arenatus,3.86,0.64
oxycheilinus bimaculatus,3.5,0.57
cheilinus chlorourus,3.46,0.52
cheilinus fasciatus,3.37,0.4
oxycheilinus orientalis,3.8,0.62
cheilinus trilobatus,3.9200000762939453,0.6061
cheilinus undulatus,3.99,0.61
oxycheilinus unifasciatus,4.06,0.7
epibulus insidiator,4.01,0.66
novaculoides macrolepidotus,3.39,0.54
novaculichthys taeniourus,3.25,0.4
iniistius pavo,3.54,0.46
cirrhilabrus exquisitus,3.4,0.45
pseudocheilinops ataenia,3.4,0.45
pseudocheilinus evanidus,3.5,0.37
pseudocheilinus octotaenia,3.36,0.39
pteragogus cryptus,3.5,0.37
anampses melanurus,3.35,0.41
cheilio inermis,3.49,0.54
coris aygula,3.7300000190734863,0.5338
coris gaimard,3.4,0.44
halichoeres margaritaceus,3.66,0.5
halichoeres scapularis,3.5,0.5
halichoeres trimaculatus,3.4600000381469727,0.5083
hemigymnus fasciatus,3.5,0.37
hemigymnus melapterus,3.55,0.45
hologymnosus annulatus,4.2,0.73
hologymnosus doliatus,3.79,0.57
pseudocoris yamashiroi,3.4,0.45
stethojulis bandanensis,3.31,0.34
stethojulis strigiventer,3.11,0.37
thalassoma amblycephalum,3.1,0.3
thalassoma hardwicke,3.5,0.37
thalassoma jansenii,3.5,0.37
thalassoma lunare,3.5,0.37
thalassoma purpureum,3.75,0.57
thalassoma quinquevittatum,3.58,0.56
thalassoma trilobatum,3.75,0.5776
labroides bicolor,4.02,0.67
labroides pectoralis,3.99,0.66
neomyxus leuciscus,2.85,0.36
crenimugil crenilabis,2.29,0.14
planiliza melinoptera,2.32,0.14
ellochelon vaigiensis,2.180000066757202,0.1032
crenimugil seheli,2.32,0.14
chaetodontoplus mesoleucus,2.65,0
pomacanthus navarchus,2.66,0
pomacanthus xanthometopon,2.74,0
pomacanthus semicirculatus,2.69,0
centropyge heraldi,2.83,0.33
paracentropyge multifasciata,2.79,0.33
genicanthus bellus,3.4,0.45
chromis pacifica,2.96,0.24
chromis amboinensis,2.74,0.31
chromis lepidolepis,3.41,0.35
chromis margaritifer,2.95,0.25
chromis retrofasciata,2.65,0.29
chromis ternatensis,3.4,0.45
chromis vanderbilti,3.46,0.29
chromis viridis,2.5,0.24
chromis weberi,3.4,0.45
chromis xanthochira,2.72,0.31
chromis xanthura,3.4,0.45
lepidozygus tapeinosoma,3.4,0.45
cheiloprion labiatus,2.68,0.41
abudefduf lorenzi,2.68,0.3
abudefduf notatus,2.73,0.31
abudefduf septemfasciatus,3.01,0.38
abudefduf sexfasciatus,2.7,0.3
abudefduf sordidus,3.24,0.48
amblyglyphidodon aureus,2.68,0.3
amblyglyphidodon leucogaster,3.38,0.39
amblyglyphidodon ternatensis,2.69,0.3
chrysiptera biocellata,2,0
chrysiptera caeruleolineata,2.84,0.18
chrysiptera cyanea,2.68,0.3
chrysiptera glauca,3.2100000381469727,0.4668
chrysiptera brownriggii,2.78,0.34
chrysiptera oxycephala,2.73,0.31
chrysiptera rex,2,0
chrysiptera talboti,2.8,0.33
chrysiptera traceyi,2.68,0.3
chrysiptera unimaculata,2,0
dischistodus melanotus,2,0
dischistodus perspicillatus,2,0
neopomacentrus taeniurus,3.4,0.45
neopomacentrus violascens,3.4,0.45
neoglyphidodon melas,3.02,0.33
neoglyphidodon nigroris,3.02,0.32
plectroglyphidodon dickii,3.24,0.49
plectroglyphidodon imparipennis,3.29,0.4
plectroglyphidodon johnstonianus,2.9,0.49
plectroglyphidodon lacrymatus,2.5,0.19
plectroglyphidodon leucozonus,2,0
plectroglyphidodon phoenixensis,2,0
pomacentrus amboinensis,2.69,0.3
pomacentrus nagasakiensis,2.74,0.31
pomacentrus brachialis,2.64,0.29
pomacentrus burroughi,2,0
pomacentrus coelestis,3.18,0.28
pomacentrus chrysurus,2.64,0.21
pomacentrus emarginatus,2.67,0.29
pomacentrus grammorhynchus,2.72,0.31
pomacentrus moluccensis,2.47,0
pomacentrus nigromanus,3.23,0.37
pomacentrus pavo,3.02,0.24
pomacentrus philippinus,2.67,0.29
pomacentrus reidi,2.6,0.28
pomacentrus simsiang,2.66,0.29
pomacentrus vaiuli,3.130000114440918,0.33149999999999996
pomachromis exilis,3.4,0.45
pomachromis guamensis,3.4,0.45
sphyraena acutipinnis,4.5,0.8
sphyraena forsteri,4.5,0.8
sphyraena novaehollandiae,4.5,0.8
platax orbicularis,3.33,0.49
platax pinnatus,3.67,0.29
platax teira,3.95,0.64
foa brachygramma,3.5,0.5
fowleria variegata,3.5,0.5
verulux cypselurus,3.5,0.5
rhabdamia gracilis,3.26,0.26
pristicon trimaculatus,3.5,0.5
apogonichthyoides melas,3.5,0.5
jaydia ellioti,3.6,0.59
apogon coccineus,3.5,0.5
apogon doryssa,3.5,0.5
pristiapogon taeniopterus,3.5,0.5
pristiapogon exostigma,3.72,0.6
pristiapogon fraenatus,3.5,0.5
pristiapogon kallopterus,3.55,0.57
fibramia lateralis,3.98,0.6
nectamia savayensis,3.28,0.35
ostorhinchus angustatus,3.3,0.32
ostorhinchus novemfasciatus,4,0.67
ostorhinchus compressus,3.5,0.5
zoramia leptacantha,3.5,0.5
taeniamia fucata,3.5,0.5
taeniamia zosterophora,3.5,0.5
sphaeramia nematoptera,3.22,0.36
cheilodipterus isostigmus,4.2,0.73
cheilodipterus artus,4.14,0.72
cheilodipterus macrodon,4.01,0.66
gymnapogon philippinus,4,0.5
kuhlia mugil,3.83,0.6
priacanthus hamrur,3.82,0.57
hoplolatilus cuniculus,3.4,0.45
hoplolatilus starcki,3.4,0.45
malacanthus brevirostris,3.5,0.37
malacanthus latovittatus,3.5,0.5
gazza achlamys,3.7,0.56
gerres erythrourus,3.34,0.43
gerres oblongus,3.5,0.37
pempheris oualensis,3.5799999237060547,0.4904
parapriacanthus ransonneti,3.4,0.45
kyphosus bigibbus,2.56,0.24
kyphosus cinerascens,2.85,0.33
kyphosus vaigiensis,2.83,0.34
monodactylus argenteus,2.95,0.33
scorpaenodes kelloggi,4.5,0.8
scorpaenodes guamensis,3.39,0.5
scorpaenopsis oxycephala,3.88,0.63
rhinopias frondosa,3.98,0.6
taenianotus triacanthus,4.06,0.68
synanceia verrucosa,4.2,0.73
inimicus didactylus,3.98,0.66
dendrochirus zebra,4,0.66
cirrhitichthys oxycephalus,4.01,0.66
cirrhitus pinnulatus,3.94,0.69
neocirrhites armatus,3.5,0.5
oxycirrhites typus,3.3,0.37
paracirrhites arcatus,3.700000047683716,0.6201
cantherhines dumerilii,3.07,0.33
melichthys vidua,3.38,0.39
rhinecanthus aculeatus,3.2200000286102295,0.426
sargocentron microstoma,3.61,0.58
sufflamen chrysopterum,3.45,0.41
nemipterus furcosus,3.85,0.62
nemipterus tambuloides,4.019999980926514,0.6934999999999999
nemipterus aurifilum,3.5,0.5
nemipterus celebicus,3.5,0.5
nemipterus bipunctatus,3.89,0.49
nemipterus zysron,3.5,0.44
parascolopsis aspinosa,3.5,0.37
parascolopsis boesemani,3.5,0.37
parascolopsis eriomma,3.5,0.44
parascolopsis townsendi,3.5,0.37
parascolopsis inermis,3.5,0.44
parascolopsis rufomaculata,3.5,0.37
parascolopsis tanyactis,3.5,0.37
pentapodus bifasciatus,3.56,0.55
pentapodus caninus,3.6,0.49
pentapodus emeryii,3.61,0.5
pentapodus nagasakiensis,3.41,0.48
pentapodus paradiseus,3.65,0.54
pentapodus setosus,3.5,0.5
pentapodus trivittatus,3.61,0.53
scaevius milii,4,0.63
scolopsis taenioptera,3.88,0.61
scolopsis ciliata,3.66,0.52
scolopsis lineata,3.76,0.59
scolopsis margaritifera,3.6,0.52
scolopsis monogramma,3.86,0.61
scolopsis temporalis,3.5,0.37
scolopsis xenochrous,3.36,0.43
scolopsis vosmeri,3.5,0.37
scolopsis bilineata,3.62,0.5
scolopsis bimaculata,3.759999990463257,0.5556
scolopsis frenata,3.28,0.39
scolopsis ghanam,3.619999885559082,0.5081
scolopsis affinis,3.28,0.39
alopias pelagicus,4.5,0.66
brachaelurus waddi,3.85,0.62
brachaelurus colcloughi,3.5,0.37
nebrius ferrugineus,3.96,0.56
chaenogaleus macrostoma,4.21,0.57
hemigaleus microstoma,4.5,0.51
hemipristis elongata,4.5,0.8
chiloscyllium indicum,3.98,0.6
chiloscyllium arabicum,4.06,0.55
chiloscyllium punctatum,4.06,0.64
hemiscyllium ocellatum,3.55,0.5
hemiscyllium trispeculare,3.5,0.37
megachasma pelagios,3.68,0.44
mitsukurina owstoni,4.14,0.62
ctenacis fehlmanni,3.5,0.37
eridacnis sinuans,4.18,0.58
gollum attenuatus,3.97,0.61
proscyllium habereri,4.13,0.57
pseudocarcharias kamoharai,4.21,0.6
furgaleus macki,3.75,0.41
hemitriakis japanica,3.8,0.59
iago omanensis,3.99,0.56
iago garricki,4.5,0.37
mustelus griseus,3.5,0.44
mustelus lenticulatus,3.5,0.5
mustelus palumbes,3.82,0.57
mustelus schmitti,3.36,0.51
mustelus asterias,3.6,0.6
mustelus dorsalis,3.55,0.55
mustelus manazo,3.54,0.49
mustelus mosis,4.01,0.52
mustelus antarcticus,4.45,0.59
mustelus fasciatus,3.67,0.63
scylliogaleus quecketti,3.99,0.44
triakis maculata,3.5,0.37
triakis megalopterus,4.210000038146973,0.7633
triakis scyllium,3.85,0.75
zanclus cornutus,2.49,0
zebrasoma scopas,2,0
paracirrhites forsteri,4.3,0.76
hippocampus histrix,3.45,0.53
corythoichthys haematopterus,3.76,0.5
corythoichthys intestinalis,3.25,0.41
corythoichthys schultzi,3.75,0.5
doryrhamphus excisus,3.5,0.44
dunckerocampus dactyliophorus,3.77,0.55
syngnathoides biaculeatus,3.63,0.55
trachyrhamphus bicoarctatus,3.75,0.5
ambassis kopsii,2.72,0.24
mulloidichthys flavolineatus,3.4700000286102295,0.4855
mulloidichthys vanicolensis,3.6,0.5
mulloidichthys pfluegeri,3.88,0.59
parupeneus barberinoides,3.39,0.39
parupeneus barberinus,3.44,0.38
parupeneus trifasciatus,3.54,0.5
parupeneus ciliatus,3.32,0.45
parupeneus cyclostomus,4.08,0.71
parupeneus heptacanthus,3.86,0.6
parupeneus indicus,3.5,0.37
parupeneus multifasciatus,3.61,0.6
parupeneus pleurostigma,3.4,0.44
upeneus taeniopterus,3.54,0.6
gerres oyena,2.72,0.24
dichistius capensis,3.3,0.45
galeichthys ater,3.56,0.48
pachymetopon aeneum,3.23,0.48
epinephelus rivulatus,3.64,0.54
chrysoblephus cristiceps,3.66,0.54
chrysoblephus gibbiceps,3.68,0.54
