species,value,trait
esox lucius,1.3151016194488403,age to maturity
esox masquinongy,5,age to maturity
esox masquinongy,4,age to maturity
esox niger,2.792018033858163,age to maturity
esox reichertii,2.792018033858163,age to maturity
etheostoma juliae,1,age to maturity
etheostoma lawrencei,2.6302032388976806,age to maturity
etheostoma microperca,1,age to maturity
etheostoma microperca,1,age to maturity
etheostoma tetrazonum,1,age to maturity
etheostoma tetrazonum,2,age to maturity
ethmalosa fimbriata,1,age to maturity
etmopterus spinax,5,age to maturity
etroplus suratensis,2.6302032388976806,age to maturity
etrumeus sadina,1.7300000190734863,age to maturity
etrumeus sadina,1.7000000476837158,age to maturity
etrumeus sadina,3,age to maturity
eubleekeria splendens,1,age to maturity
eudontomyzon danfordi,6,age to maturity
eugerres brasilianus,1,age to maturity
euthynnus affinis,3.945304858346521,age to maturity
euthynnus affinis,5.300000190734863,age to maturity
euthynnus alletteratus,2,age to maturity
euthynnus alletteratus,2,age to maturity
eutrigla gurnardus,2.792018033858163,age to maturity
eutrigla gurnardus,5.260406477795361,age to maturity
eutrigla gurnardus,3.945304858346521,age to maturity
eutrigla gurnardus,1.5,age to maturity
eutrigla gurnardus,4.5,age to maturity
eviota sigillata,0.0820000022649765,age to maturity
facciolella equatorialis,5.260406477795361,age to maturity
facciolella gilbertii,2.792018033858163,age to maturity
forbesichthys agassizii,1.3151016194488403,age to maturity
fundulus heteroclitus,1.3151016194488403,age to maturity
furgaleus macki,6.5,age to maturity
furgaleus macki,4.5,age to maturity
gadiculus thori,2,age to maturity
gadus chalcogrammus,2.792018033858163,age to maturity
gadus chalcogrammus,3,age to maturity
gadus chalcogrammus,3,age to maturity
gadus chalcogrammus,4,age to maturity
gadus chalcogrammus,5.5,age to maturity
gadus chalcogrammus,3.490022542322704,age to maturity
gadus chalcogrammus,4,age to maturity
gadus chalcogrammus,3,age to maturity
gadus chalcogrammus,5,age to maturity
gadus chalcogrammus,4,age to maturity
gadus chalcogrammus,4.5,age to maturity
gadus chalcogrammus,4.5,age to maturity
gadus macrocephalus,3.945304858346521,age to maturity
gadus macrocephalus,3.945304858346521,age to maturity
gadus macrocephalus,6.575508097244202,age to maturity
gadus macrocephalus,2.0940135253936223,age to maturity
gadus macrocephalus,2.0940135253936223,age to maturity
gadus macrocephalus,5.800000190734863,age to maturity
gadus macrocephalus,4.886031559251785,age to maturity
gadus macrocephalus,4.188027050787245,age to maturity
gadus macrocephalus,4.886031559251785,age to maturity
gadus macrocephalus,4.188027050787245,age to maturity
gadus macrocephalus,4.886031559251785,age to maturity
gadus macrocephalus,4.188027050787245,age to maturity
gadus macrocephalus,4.886031559251785,age to maturity
gadus macrocephalus,4.188027050787245,age to maturity
gadus macrocephalus,6.282040576180867,age to maturity
gadus macrocephalus,5.584036067716326,age to maturity
gadus macrocephalus,3.945304858346521,age to maturity
gadus macrocephalus,3.945304858346521,age to maturity
gadus macrocephalus,2.792018033858163,age to maturity
gadus macrocephalus,2.792018033858163,age to maturity
gadus morhua,2.6302032388976806,age to maturity
gadus morhua,5.260406477795361,age to maturity
gadus morhua,6.575508097244202,age to maturity
gadus morhua,6.575508097244202,age to maturity
gadus morhua,3.287754048622101,age to maturity
gadus morhua,9.205711336141883,age to maturity
gadus morhua,7.890609716693042,age to maturity
gadus morhua,7.890609716693042,age to maturity
gadus morhua,3.945304858346521,age to maturity
gadus morhua,1.7000000476837158,age to maturity
gadus morhua,2.0999999046325684,age to maturity
gadus morhua,1.899999976158142,age to maturity
gadus morhua,2.299999952316284,age to maturity
gadus morhua,2.5,age to maturity
gadus morhua,3.799999952316284,age to maturity
gadus morhua,10.470067626968111,age to maturity
gadus morhua,10.470067626968111,age to maturity
gadus morhua,2.792018033858163,age to maturity
gadus morhua,10.470067626968111,age to maturity
gadus morhua,9.205711336141883,age to maturity
gadus morhua,3.287754048622101,age to maturity
gadus morhua,3.945304858346521,age to maturity
gadus morhua,3.287754048622101,age to maturity
gadus morhua,2.700000047683716,age to maturity
gadus morhua,2.200000047683716,age to maturity
gadus morhua,8.5,age to maturity
gadus morhua,7.800000190734863,age to maturity
gadus morhua,5.584036067716326,age to maturity
gadus morhua,4.188027050787245,age to maturity
gadus morhua,3.945304858346521,age to maturity
gadus morhua,7.309999942779541,age to maturity
gadus morhua,7.119999885559082,age to maturity
gadus morhua,7.380000114440918,age to maturity
gadus morhua,6.579999923706055,age to maturity
gadus morhua,6.789999961853027,age to maturity
gadus morhua,6.590000152587891,age to maturity
gadus morhua,7.019999980926514,age to maturity
gadus morhua,7.28000020980835,age to maturity
gadus morhua,6.860000133514404,age to maturity
gadus morhua,6.360000133514404,age to maturity
gadus morhua,6.340000152587891,age to maturity
gadus morhua,6.28000020980835,age to maturity
gadus morhua,6.179999828338623,age to maturity
gadus morhua,5.880000114440918,age to maturity
gadus morhua,5.570000171661377,age to maturity
gadus morhua,5.909999847412109,age to maturity
gadus morhua,6.389999866485596,age to maturity
gadus morhua,6.349999904632568,age to maturity
gadus morhua,2.799999952316284,age to maturity
gadus morhua,2.0999999046325684,age to maturity
gadus morhua,1.7000000476837158,age to maturity
gadus morhua,3.945304858346521,age to maturity
gadus morhua,2.200000047683716,age to maturity
gadus morhua,2.700000047683716,age to maturity
gadus morhua,3.140000104904175,age to maturity
gadus morhua,1.7000000476837158,age to maturity
gadus morhua,2.5,age to maturity
gadus morhua,2.799999952316284,age to maturity
gadus morhua,2.792018033858163,age to maturity
gadus morhua,2.792018033858163,age to maturity
gadus morhua,2.792018033858163,age to maturity
gadus morhua,4,age to maturity
gadus morhua,4,age to maturity
gadus morhua,3.7300000190734863,age to maturity
gadus morhua,2.0999999046325684,age to maturity
gadus morhua,2.299999952316284,age to maturity
gadus morhua,10.5,age to maturity
gadus morhua,9.140000343322754,age to maturity
gadus morhua,6.920000076293945,age to maturity
gadus morhua,7.309999942779541,age to maturity
gadus morhua,7.119999885559082,age to maturity
gadus morhua,7.380000114440918,age to maturity
gadus morhua,6.579999923706055,age to maturity
gadus morhua,6.789999961853027,age to maturity
gadus morhua,6.590000152587891,age to maturity
gadus morhua,7.019999980926514,age to maturity
gadus morhua,7.28000020980835,age to maturity
gadus morhua,6.860000133514404,age to maturity
gadus morhua,6.360000133514404,age to maturity
gadus morhua,6.340000152587891,age to maturity
gadus morhua,6.28000020980835,age to maturity
gadus morhua,6.179999828338623,age to maturity
gadus morhua,5.880000114440918,age to maturity
gadus morhua,5.570000171661377,age to maturity
gadus morhua,5.909999847412109,age to maturity
gadus morhua,6.389999866485596,age to maturity
gadus morhua,6.349999904632568,age to maturity
gadus morhua,7.5,age to maturity
gadus morhua,3.119999885559082,age to maturity
gadus morhua,3.945304858346521,age to maturity
gadus morhua,3.119999885559082,age to maturity
gadus morhua,6.980045084645408,age to maturity
gadus morhua,2.0199999809265137,age to maturity
gadus morhua,2.792018033858163,age to maturity
gadus morhua,2.792018033858163,age to maturity
gadus morhua,2.109999895095825,age to maturity
galaxias auratus,2.6302032388976806,age to maturity
galaxias auratus,1.3151016194488403,age to maturity
galaxias auratus,2.6302032388976806,age to maturity
galaxias auratus,1.3960090169290815,age to maturity
galaxias fasciatus,2.792018033858163,age to maturity
galaxias johnstoni,2.6302032388976806,age to maturity
galaxias occidentalis,1,age to maturity
galaxias occidentalis,1,age to maturity
galaxiella munda,1,age to maturity
galaxiella nigrostriata,1.3151016194488403,age to maturity
galaxiella pusilla,1,age to maturity
galeocerdo cuvier,4.188027050787245,age to maturity
galeocerdo cuvier,4.188027050787245,age to maturity
galeocerdo cuvier,9,age to maturity
galeocerdo cuvier,8,age to maturity
galeocerdo cuvier,10,age to maturity
galeorhinus galeus,14.466117813937243,age to maturity
galeorhinus galeus,10.520812955590722,age to maturity
galeorhinus galeus,13.151016194488404,age to maturity
galeorhinus galeus,10.520812955590722,age to maturity
galeorhinus galeus,15.781219433386084,age to maturity
galeorhinus galeus,13.151016194488404,age to maturity
galeorhinus galeus,17.5,age to maturity
galeorhinus galeus,15,age to maturity
galeorhinus galeus,13,age to maturity
galeorhinus galeus,17,age to maturity
galeus melastomus,2.792018033858163,age to maturity
gambusia affinis,3,age to maturity
gambusia affinis,0.6980045084645408,age to maturity
gambusia affinis,0.6980045084645408,age to maturity
gasterosteus aculeatus,1.3960090169290815,age to maturity
gasterosteus aculeatus,1.3960090169290815,age to maturity
gasterosteus aculeatus,2,age to maturity
gasterosteus aculeatus,1.3151016194488403,age to maturity
gasterosteus aculeatus,1.3151016194488403,age to maturity
gilchristella aestuaria,0.6575508097244201,age to maturity
genyonemus lineatus,1,age to maturity
genypterus blacodes,4.886031559251785,age to maturity
genypterus capensis,3.490022542322704,age to maturity
geophagus brasiliensis,2,age to maturity
geophagus brasiliensis,2,age to maturity
gerres cinereus,1.5,age to maturity
gerres longirostris,1.5,age to maturity
gerres longirostris,1.100000023841858,age to maturity
gibelion catla,3.490022542322704,age to maturity
girella nigricans,2.5,age to maturity
girella tricuspidata,4.519999980926514,age to maturity
girella tricuspidata,4.159999847412109,age to maturity
glaucosoma hebraicum,2.792018033858163,age to maturity
glaucosoma hebraicum,3,age to maturity
glaucosoma hebraicum,3,age to maturity
glaucostegus cemiculus,5.090000152587891,age to maturity
glaucostegus cemiculus,2.890000104904175,age to maturity
glossolepis maculosa,1,age to maturity
glyptocephalus cynoglossus,8.420000076293945,age to maturity
glyptocephalus cynoglossus,8.979999542236328,age to maturity
glyptocephalus cynoglossus,11.899999618530272,age to maturity
glyptocephalus cynoglossus,10.199999809265137,age to maturity
glyptocephalus cynoglossus,10.300000190734863,age to maturity
glyptocephalus cynoglossus,7.380000114440918,age to maturity
glyptocephalus cynoglossus,7.920000076293945,age to maturity
glyptocephalus cynoglossus,7.659999847412109,age to maturity
glyptocephalus cynoglossus,9.43000030517578,age to maturity
glyptocephalus cynoglossus,7.869999885559082,age to maturity
glyptocephalus cynoglossus,4.400000095367432,age to maturity
glyptocephalus cynoglossus,3.5999999046325684,age to maturity
glyptocephalus cynoglossus,4.5,age to maturity
glyptocephalus cynoglossus,4.886031559251785,age to maturity
glyptocephalus cynoglossus,7,age to maturity
glyptocephalus stelleri,5.584036067716326,age to maturity
glyptocephalus zachirus,5.260406477795361,age to maturity
glyptocephalus zachirus,3.945304858346521,age to maturity
glyptocephalus zachirus,6,age to maturity
gobio gobio,3,age to maturity
gobio gobio,2.0940135253936223,age to maturity
gobio gobio,2.0940135253936223,age to maturity
gobio gobio,2.0940135253936223,age to maturity
gobio gobio,2.0940135253936223,age to maturity
gobio gobio,2,age to maturity
gobio gobio,2.0940135253936223,age to maturity
gobio soldatovi,2,age to maturity
gobio soldatovi,2.792018033858163,age to maturity
gobiobotia pappenheimi,2,age to maturity
gobiomorphus breviceps,1.5,age to maturity
gobiomorphus breviceps,2.5,age to maturity
gobionotothen gibberifrons,10,age to maturity
gobius bucchichi,1,age to maturity
gobius cobitis,2.0940135253936223,age to maturity
gobius niger,2,age to maturity
gobius niger,1.0520813112363052,age to maturity
gobius paganellus,2.0940135253936223,age to maturity
gobius paganellus,0.6980045084645408,age to maturity
gymnapistes marmoratus,5.260406477795361,age to maturity
gymnapistes marmoratus,2.6302032388976806,age to maturity
gymnapistes marmoratus,2.6302032388976806,age to maturity
gymnocanthus detrisus,6,age to maturity
gymnocanthus detrisus,5,age to maturity
gymnocanthus tricuspis,2.792018033858163,age to maturity
gymnocanthus tricuspis,2.0940135253936223,age to maturity
gymnocephalus acerina,2.0940135253936223,age to maturity
gymnocephalus baloni,2.0940135253936223,age to maturity
gymnocephalus baloni,1.3960090169290815,age to maturity
gymnocephalus cernua,1.3960090169290815,age to maturity
gymnocephalus cernua,1,age to maturity
gymnocephalus cernua,1.3960090169290815,age to maturity
gymnocephalus cernua,2.0940135253936223,age to maturity
gymnocephalus cernua,2.5,age to maturity
gymnocephalus cernua,1.5,age to maturity
gymnocephalus cernua,2.792018033858163,age to maturity
gymnocephalus cernua,2.0940135253936223,age to maturity
gymnocephalus cernua,1.3151016194488403,age to maturity
gymnocephalus schraetser,2.0940135253936223,age to maturity
gymnocharacinus bergii,1,age to maturity
gymnocharacinus bergii,1,age to maturity
gymnotus carapo,2.6302032388976806,age to maturity
haemulon album,3.5,age to maturity
haemulon plumierii,2,age to maturity
haemulon sciurus,2,age to maturity
hemibarbus maculatus,3,age to maturity
hemibarbus maculatus,5,age to maturity
halichoeres semicinctus,2.5,age to maturity
harengula humeralis,1.5,age to maturity
harengula jaguana,1,age to maturity
helicolenus dactylopterus,13,age to maturity
helicolenus dactylopterus,11.168072135432652,age to maturity
helicolenus lahillei,16.75210820314898,age to maturity
hemibarbus labeo,3.490022542322704,age to maturity
hemibarbus labeo,3.945304858346521,age to maturity
hemibarbus labeo,5.260406477795361,age to maturity
hemibarbus labeo,3.490022542322704,age to maturity
heterodontus galeatus,15.518199360332044,age to maturity
heterodontus portusjacksoni,9.77206311850357,age to maturity
heterodontus portusjacksoni,6.980045084645408,age to maturity
hemiculter leucisculus,3.945304858346521,age to maturity
hemiculter leucisculus,2,age to maturity
hemilepidotus gilberti,4.188027050787245,age to maturity
hemilepidotus gilberti,6,age to maturity
hemilepidotus gilberti,4.188027050787245,age to maturity
hemilepidotus jordani,4.886031559251785,age to maturity
hemilepidotus jordani,4.886031559251785,age to maturity
hemilepidotus jordani,4.886031559251785,age to maturity
hemilepidotus zapus,5,age to maturity
hemilepidotus zapus,4,age to maturity
herklotsichthys quadrimaculatus,0.6838528170298243,age to maturity
herklotsichthys quadrimaculatus,0.9863262145866303,age to maturity
herklotsichthys quadrimaculatus,0.8811181069788492,age to maturity
herklotsichthys quadrimaculatus,0.4471345553157756,age to maturity
herklotsichthys quadrimaculatus,0.49973860911966617,age to maturity
herklotsichthys quadrimaculatus,0.4471345553157756,age to maturity
herklotsichthys quadrimaculatus,0.5786447094220432,age to maturity
herklotsichthys quadrimaculatus,0.49973860911966617,age to maturity
herotilapia multispinosa,1.3151016194488403,age to maturity
heterandria formosa,0.12999999523162842,age to maturity
heteropneustes fossilis,1.3151016194488403,age to maturity
heteropneustes fossilis,1.3151016194488403,age to maturity
heterostichus rostratus,1.25,age to maturity
heterotis niloticus,2,age to maturity
heterotis niloticus,1.745011271161352,age to maturity
hexagrammos decagrammus,3.490022542322704,age to maturity
hexagrammos decagrammus,3,age to maturity
hexagrammos lagocephalus,3.5,age to maturity
hiodon alosoides,6.980045084645408,age to maturity
hiodon alosoides,4.886031559251785,age to maturity
hiodon alosoides,6.282040576180867,age to maturity
hiodon alosoides,4.188027050787245,age to maturity
hiodon tergisus,3.490022542322704,age to maturity
hiodon tergisus,3.490022542322704,age to maturity
hippocampus abdominalis,1,age to maturity
hippocampus barbouri,0.2931618844021588,age to maturity
hippocampus capensis,0.6980045084645408,age to maturity
hippocampus capensis,0.6980045084645408,age to maturity
hippocampus comes,0.6980045084645408,age to maturity
hippocampus erectus,0.6980045084645408,age to maturity
hippocampus kuda,0.2931618844021588,age to maturity
hippocampus guttulatus,0.5,age to maturity
hippocampus hippocampus,0.2931618844021588,age to maturity
hippocampus ingens,0.2931618844021588,age to maturity
hippocampus kuda,0.46766303232044937,age to maturity
hippocampus kuda,0.6980045084645408,age to maturity
hippocampus mohnikei,0.6980045084645408,age to maturity
hippocampus spinosissimus,0.6980045084645408,age to maturity
hippocampus trimaculatus,0.6980045084645408,age to maturity
hippocampus whitei,0.5799999833106995,age to maturity
hippocampus whitei,0.9205711179369552,age to maturity
hippocampus zosterae,0.25,age to maturity
hippocampus zosterae,0.4000000059604645,age to maturity
hippoglossina stomata,3,age to maturity
hippoglossoides elassodon,2.0940135253936223,age to maturity
hippoglossoides elassodon,1.3960090169290815,age to maturity
hippoglossoides elassodon,8.880000114440918,age to maturity
hippoglossoides platessoides,10.600000381469728,age to maturity
hippoglossoides platessoides,11.100000381469728,age to maturity
hippoglossoides platessoides,6.429999828338623,age to maturity
hippoglossoides platessoides,4.650000095367432,age to maturity
hippoglossoides platessoides,7.590000152587891,age to maturity
hippoglossoides platessoides,5.320000171661377,age to maturity
hippoglossoides platessoides,8.789999961853027,age to maturity
hippoglossoides platessoides,7.639999866485596,age to maturity
hippoglossoides platessoides,8.109999656677246,age to maturity
hippoglossoides platessoides,7.829999923706055,age to maturity
hippoglossoides platessoides,8.649999618530273,age to maturity
hippoglossoides platessoides,6.170000076293945,age to maturity
hippoglossoides platessoides,10.600000381469728,age to maturity
hippoglossoides platessoides,9.479999542236328,age to maturity
hippoglossoides platessoides,14,age to maturity
hippoglossoides platessoides,3.490022542322704,age to maturity
hippoglossoides platessoides,3.490022542322704,age to maturity
hippoglossoides platessoides,3.5999999046325684,age to maturity
hippoglossoides platessoides,3,age to maturity
hippoglossoides platessoides,8,age to maturity
hippoglossoides platessoides,4.5,age to maturity
hippoglossoides platessoides,2.5999999046325684,age to maturity
hippoglossoides platessoides,2.0940135253936223,age to maturity
hippoglossoides platessoides,11,age to maturity
hippoglossoides platessoides,8,age to maturity
hippoglossus hippoglossus,7.678049593109948,age to maturity
hippoglossus hippoglossus,5.584036067716326,age to maturity
hippoglossus hippoglossus,7.300000190734863,age to maturity
hippoglossus hippoglossus,4.5,age to maturity
hippoglossus hippoglossus,12.564081152361734,age to maturity
hippoglossus hippoglossus,12.564081152361734,age to maturity
hippoglossus hippoglossus,6.575508097244202,age to maturity
hippoglossus stenolepis,13.960090169290815,age to maturity
hippoglossus stenolepis,13.960090169290815,age to maturity
hippoglossus stenolepis,15.912730097002425,age to maturity
hippoglossus stenolepis,14.334607150320902,age to maturity
hippoglossus stenolepis,13,age to maturity
hyperoglyphe antarctica,4.886031559251785,age to maturity
hyperoglyphe antarctica,4.886031559251785,age to maturity
hypomesus japonicus,1,age to maturity
hypomesus japonicus,2,age to maturity
hypomesus nipponensis,1,age to maturity
hypomesus nipponensis,2,age to maturity
hypomesus olidus,2.6302032388976806,age to maturity
hypomesus olidus,2.6302032388976806,age to maturity
hypomesus pretiosus,1.5,age to maturity
hypomesus transpacificus,1,age to maturity
hypophthalmichthys molitrix,2.792018033858163,age to maturity
hypophthalmichthys molitrix,4.188027050787245,age to maturity
hypophthalmichthys molitrix,2.0940135253936223,age to maturity
hypophthalmichthys molitrix,4.886031559251785,age to maturity
hypophthalmichthys molitrix,2.6302032388976806,age to maturity
hypophthalmichthys molitrix,3.945304858346521,age to maturity
hypophthalmichthys nobilis,3.490022542322704,age to maturity
hypophthalmichthys nobilis,2.792018033858163,age to maturity
hypophthalmichthys nobilis,4.188027050787245,age to maturity
hypophthalmichthys nobilis,2.6302032388976806,age to maturity
hypophthalmichthys nobilis,4.886031559251785,age to maturity
hypophthalmichthys nobilis,5.260406477795361,age to maturity
hirundichthys affinis,0.46766303232044937,age to maturity
hoplias aimara,1.3151016194488403,age to maturity
hoplosternum littorale,1,age to maturity
hoplosternum littorale,2,age to maturity
hoplosternum littorale,1,age to maturity
hoplosternum littorale,1,age to maturity
hoplostethus atlanticus,32,age to maturity
hoplostethus atlanticus,22.336144270865304,age to maturity
hoplostethus atlanticus,6.282040576180867,age to maturity
hoplostethus atlanticus,8.37605410157449,age to maturity
hoplostethus atlanticus,5.584036067716326,age to maturity
hoplostethus atlanticus,11.835914575039563,age to maturity
hoplostethus atlanticus,34,age to maturity
hoplostethus atlanticus,33,age to maturity
hoplostethus atlanticus,27.5,age to maturity
hucho hucho,5,age to maturity
hucho hucho,3.490022542322704,age to maturity
hucho hucho,2.792018033858163,age to maturity
hucho taimen,6.575508097244202,age to maturity
hucho taimen,5.584036067716326,age to maturity
hucho taimen,4.188027050787245,age to maturity
hucho taimen,5.584036067716326,age to maturity
hucho taimen,4.886031559251785,age to maturity
huso dauricus,16.05410369468444,age to maturity
huso dauricus,14.658094677755356,age to maturity
huso dauricus,11.168072135432652,age to maturity
huso dauricus,21.041625911181445,age to maturity
huso dauricus,10.470067626968111,age to maturity
huso dauricus,10.470067626968111,age to maturity
huso dauricus,16.05410369468444,age to maturity
huso dauricus,14.658094677755356,age to maturity
huso huso,15.356099186219897,age to maturity
huso huso,11.168072135432652,age to maturity
huso huso,13.960090169290815,age to maturity
huso huso,11.168072135432652,age to maturity
hybognathus hankinsoni,1,age to maturity
hybognathus hankinsoni,2,age to maturity
hybognathus regius,2,age to maturity
hybognathus regius,1.3960090169290815,age to maturity
hyperoplus lanceolatus,2.6302032388976806,age to maturity
hyperoplus lanceolatus,2,age to maturity
hyperprosopon argenteum,1,age to maturity
hyperprosopon ellipticum,3,age to maturity
hyporhamphus melanochir,2.0940135253936223,age to maturity
hyporthodus niveatus,4.920000076293945,age to maturity
ichthyomyzon castaneus,6,age to maturity
hypsopsetta guttulata,2.5,age to maturity
hypsypops rubicundus,5,age to maturity
hyrcanogobius bergi,1,age to maturity
iberochondrostoma lemmingii,1.3151016194488403,age to maturity
iberochondrostoma lemmingii,1.3151016194488403,age to maturity
ichthyomyzon fossor,6,age to maturity
ichthyomyzon unicuspis,6,age to maturity
ictalurus furcatus,2.792018033858163,age to maturity
ictalurus punctatus,4.188027050787245,age to maturity
ictalurus punctatus,2.792018033858163,age to maturity
ictalurus punctatus,3.490022542322704,age to maturity
ictalurus punctatus,4.886031559251785,age to maturity
ictalurus punctatus,10.520812955590722,age to maturity
ictalurus punctatus,2.6302032388976806,age to maturity
ictalurus punctatus,7.890609716693042,age to maturity
ictalurus punctatus,2.6302032388976806,age to maturity
ictalurus punctatus,5.260406477795361,age to maturity
ictalurus punctatus,5.584036067716326,age to maturity
ictiobus cyprinellus,6.980045084645408,age to maturity
ictiobus cyprinellus,6.282040576180867,age to maturity
ictiobus cyprinellus,5,age to maturity
ictiobus cyprinellus,5.260406477795361,age to maturity
ilisha elongata,2,age to maturity
ilyodon lennoni,0.5,age to maturity
kajikia audax,2.0940135253936223,age to maturity
kajikia audax,2,age to maturity
isogomphodon oxyrhynchus,4.886031559251785,age to maturity
isogomphodon oxyrhynchus,4.188027050787245,age to maturity
isopsetta isolepis,2,age to maturity
istiophorus albicans,3.5,age to maturity
isurus oxyrinchus,20,age to maturity
isurus oxyrinchus,8,age to maturity
isurus oxyrinchus,18,age to maturity
isurus oxyrinchus,13.262085660826274,age to maturity
isurus oxyrinchus,8,age to maturity
isurus oxyrinchus,9.77206311850357,age to maturity
jaydia lineata,1,age to maturity
jaydia lineata,1,age to maturity
jaydia lineata,1,age to maturity
jenkinsia lamprotaenia,0.20000000298023224,age to maturity
jenynsia lineata,1,age to maturity
johnius carutta,1.399999976158142,age to maturity
kathetostoma averruncus,2.0940135253936223,age to maturity
kathetostoma giganteum,3.945304858346521,age to maturity
katsuwonus pelamis,1.3960090169290815,age to maturity
katsuwonus pelamis,3,age to maturity
knipowitschia caucasica,1,age to maturity
knipowitschia longecaudata,0.5793437303763619,age to maturity
knipowitschia panizzae,1,age to maturity
kryptolebias marmoratus,0.5,age to maturity
kryptolebias marmoratus,0.3490022542322704,age to maturity
kryptolebias marmoratus,0.25826167146022494,age to maturity
kurtus gulliveri,1.3960090169290815,age to maturity
labeo rohita,2.940000057220459,age to maturity
labeo rohita,2.700000047683716,age to maturity
labeo rohita,2.6302032388976806,age to maturity
laemonema longipes,4.188027050787245,age to maturity
laemonema longipes,5.584036067716326,age to maturity
laemonema longipes,5.584036067716326,age to maturity
labeobarbus kimberleyensis,9,age to maturity
labeobarbus kimberleyensis,6.400000095367432,age to maturity
labrus bergylta,2,age to maturity
labrus bergylta,6.282040576180867,age to maturity
labrus merula,2,age to maturity
labrus mixtus,2,age to maturity
labrus viridis,2.6302032388976806,age to maturity
lachnolaimus maximus,1.100000023841858,age to maturity
lachnolaimus maximus,1.600000023841858,age to maturity
lachnolaimus maximus,6.5,age to maturity
lachnolaimus maximus,7,age to maturity
ladislavia taczanowskii,3,age to maturity
lagocephalus sceleratus,3,age to maturity
lagocephalus sceleratus,3,age to maturity
lagodon rhomboides,2.6302032388976806,age to maturity
lagodon rhomboides,2.6302032388976806,age to maturity
laimosemion agilae,1.0915343221944114,age to maturity
laimosemion xiphidius,1,age to maturity
lamna nasus,6.575508097244202,age to maturity
lamna nasus,17,age to maturity
lamna nasus,10,age to maturity
lamna nasus,11.168072135432652,age to maturity
lamna nasus,6.980045084645408,age to maturity
lampetra fluviatilis,4.188027050787245,age to maturity
lampetra fluviatilis,3.490022542322704,age to maturity
lampetra fluviatilis,4.886031559251785,age to maturity
lampetra fluviatilis,6.282040576180867,age to maturity
lampetra planeri,4.886031559251785,age to maturity
lampetra planeri,4,age to maturity
lateolabrax japonicus,2.6302032388976806,age to maturity
lates angustifrons,4,age to maturity
lates angustifrons,4,age to maturity
lates calcarifer,3.490022542322704,age to maturity
lates calcarifer,3.490022542322704,age to maturity
lates mariae,4,age to maturity
lates mariae,3,age to maturity
lates mariae,4,age to maturity
lates mariae,3,age to maturity
lates microlepis,4,age to maturity
lates microlepis,4,age to maturity
lates niloticus,2.0940135253936223,age to maturity
lates stappersii,2,age to maturity
lates stappersii,2,age to maturity
lates stappersii,2,age to maturity
lates stappersii,2,age to maturity
lates stappersii,2.299999952316284,age to maturity
latimeria chalumnae,35.50774372511869,age to maturity
latridopsis ciliaris,4.188027050787245,age to maturity
latris lineata,6.800000190734863,age to maturity
latris lineata,6.199999809265137,age to maturity
lebetus scorpioides,1.3960090169290815,age to maturity
leiopotherapon unicolor,1,age to maturity
leiopotherapon unicolor,1,age to maturity
leocottus kesslerii,2.6302032388976806,age to maturity
leporinus acutidens,2,age to maturity
leporinus acutidens,1,age to maturity
lesueurigobius friesii,2,age to maturity
lethenteron alaskense,6.575508097244202,age to maturity
lethenteron appendix,5,age to maturity
lethenteron camtschaticum,3.490022542322704,age to maturity
lepidion lepidion,6.282040576180867,age to maturity
lepidion lepidion,6.282040576180867,age to maturity
lepidonotothen squamifrons,5.584036067716326,age to maturity
lepidonotothen squamifrons,6.282040576180867,age to maturity
lepidophanes guentheri,0.5,age to maturity
lepidopsetta bilineata,9,age to maturity
lepidopsetta bilineata,9,age to maturity
lepidopsetta polyxystra,7,age to maturity
lepidopsetta polyxystra,8,age to maturity
lepidopsetta polyxystra,6,age to maturity
lepidorhombus boscii,2,age to maturity
lepidorhombus boscii,1,age to maturity
lepidorhombus boscii,1,age to maturity
lepidorhombus whiffiagonis,3,age to maturity
lepidorhombus whiffiagonis,4,age to maturity
lepidorhombus whiffiagonis,2,age to maturity
lepidorhombus whiffiagonis,2.5,age to maturity
lepidorhombus whiffiagonis,1.5,age to maturity
lepidotrigla cavillone,2,age to maturity
lepisosteus oculatus,2.792018033858163,age to maturity
lepisosteus oculatus,4,age to maturity
lepisosteus oculatus,1.3960090169290815,age to maturity
lepisosteus oculatus,1.3960090169290815,age to maturity
lepisosteus osseus,6,age to maturity
lepisosteus osseus,2.792018033858163,age to maturity
lepisosteus osseus,6,age to maturity
lepisosteus osseus,4.188027050787245,age to maturity
lepisosteus osseus,2.0940135253936223,age to maturity
lepomis gibbosus,2,age to maturity
lepomis gibbosus,3.945304858346521,age to maturity
lepomis gibbosus,2.0940135253936223,age to maturity
lepomis gibbosus,2.0940135253936223,age to maturity
leporinus friderici,2.6302032388976806,age to maturity
leporinus friderici,1.3151016194488403,age to maturity
leptoclinus maculatus,7,age to maturity
leptoclinus maculatus,6,age to maturity
leptocottus armatus,1,age to maturity
lethenteron zanandreai,3.839024796554974,age to maturity
lethrinops parvidens,3,age to maturity
lethrinus atkinsoni,6.575508097244202,age to maturity
lethrinus atkinsoni,4.865876054669641,age to maturity
lethrinus atkinsoni,2.0940135253936223,age to maturity
lethrinus borbonicus,1.2999999523162842,age to maturity
lethrinus borbonicus,2,age to maturity
lethrinus harak,1.3960090169290815,age to maturity
lethrinus lentjan,3.799999952316284,age to maturity
lethrinus lentjan,2.6302032388976806,age to maturity
lethrinus lentjan,3.5,age to maturity
