category,trait,acanthochromis polyacanthus,acanthurus dusumieri,acromycter perturbator,amphiprion akindynos,anguilla australis,apterichtus kendalli,ariosoma selenops,asarcenchelys longimanus,balistoides viridescens,bathycongrus retrotinctus,bathycongrus vicinalis,bathypterois grallator,bathyuroconger vicinus,brachionichthys hirsutus,brachysomophis longipinnis,callechelys bitaeniata,carapus bermudensi,cephalopholis cyanostogmata,chaetodon auriga,chaetodon triangulum,chaetodon trifascialis,champsocephalus gunnari,chanos chanos,chlopsis kazuko,cirripectes alleni,cirripectes filamentosus,clupea harengus,coloconger japonicus,conger verreauxi,congriscus maldivensis,corphaena hippurus,crossosalarias macrospilus,ctenoscarus bicolor,derichthys serpentinus,dissostichus eleginoides,ecsenius trilineatus,encheliophis gracilis,enchelycore schismatorhynchus,engraulis ringens,entomacrodus macrospilus,entomacrodus stellifer,epinephelus itajara,epinephelus lanceolatus,eptatretus cirrhatus,eptatretus mendozai,ethadophis akkistikos,ethadophis merenda,eviota sigillata,exocoetus volitans,facciolella karreri,forsterygion varium,gadus mohua,galaxias brevipinnis,gobiodon citrinus,gobiodon histro,gorgasia maculata,gymnothoraxjavanicus,heteroconger klausewitzi,heteroconger taylori,hippocampus abdominalis,hippoglossus stenolepis,hoplostethus atlanticus,hoplunnis schmidti,hygophum proximum,hypleurochilus bananensis,hypsoblennius striatus,katsuwonus pelamis,kaupichthys brachychirus,lutjanus carponatatus,lutjanus sebae,meuschenia scaber,monopenchelys acuta,moringua edwardsi,naso vlamingi,nessorhamphus danae,notolabrus celidotus,omobranchus anolius,omobranchus fasciolatus,omobranchus rotundiceps,oncorhynchus nerka,ophichthus altipennis,ophichthus melanoporus,osterhinchus doederleini,parablennius parvicornis,parablennius yatabei,parablennius zvonimiri,parapercis colias,parenchelyurus hepburni,parma microlepis,phycoduras eques,plectropomus leopardus,pomacentrus coelestis,praealticus dayi,rexea solandri,rhinomuraena quaesita,salarias ceramensis,salarias fasciatus,salarias sinuosus,saurenchelys fierasfer,saurenchelys meteori,scarus schlegeri,sebastes diploproa,serrivomer lanceolatoides,simenchelys parasitica,skythrenchelys zabra,spratelloides delicatulus,synaphobranchus affinis,synaphobranchus kaupii,synaphobranchus oregoni,thunnus maccoyii,uropterygius fuscoguttatus,uropterygius wheeleri,venefica tentaculata,xenomystax trucidans,xestochilus nebulosus
physiological tolerance breadths,thermal - sensitivity to ocean warming - max temps tolerated,30c,30c,15c,30c,30c,25c,25c,25c,30c,20c,20c,5c,15c,unknown,20c,30c,30c,30c,30c,30c,30c,unknown,30c,25c,30c,30c,15c,25c,25c,15c,30c,30c,30c,15c,unknown,30c,30c,30c,20c,30c,30c,30c,30c,25c,25c,25c,25c,30c,30c,15c,20c,15c,unknown,unknown,30c,30c,30c,25c,30c,unknown,15c,10c,20c,5c,30c,30c,30c,30c,30c,30c,25c,30c,30c,30c,15c,25c,30c,30c,30c,15c,30c,20c,30c,30c,30c,30c,20c,30c,25c,unknown,30c,30c,30c,15c,30c,30c,unknown,30c,15c,15c,30c,15c,10c,10c,30c,30c,10c,10c,10c,30c,30c,25c,10c,15c,30c
r (reproductive traits),age to 1st reproduction/generation time,<1yr,4120-100,<1year,<1yr,710-20,1-5years,<1year,1-5years,1to 5,<1year,<1year,unknown,<1year,1to 5,<1year,1-5years,1-5years,1to 5,1to 5,1to 5,1to 5,5to 10,NA,<1year,<1year,<1year,2to 9,NA,<1year,1-5years,<1year,<1year,1to 5,<1year,8to 105to 10,<1year,1-5years,1-5years,<1yr,<1year,<1year,5to 10,5to 10,5-10years,5-10years,1-5years,1-5years,<1year,1to 5,1-5years,<1year,1to 5yrs,1to 5yrs,<1year,<1year,<1year,1to 5,<1year,<1year,<1year,1to 5yrs,10to 20yrs,1-5years,unknown,<1year,<1year,1to 5years,<1year,1to 5,1-5yrs,1to 5,1-5years,<1year,4120-100,<1year,1to 5,<1year,<1year,<1year,710-20,1-5years,1-5years,<1,<1year,<1year,<1year,1to 5,<1year,1to 5,<1year,1-5yrs,<1yr,<1year,1to 5,1-5years,<1year,<1year,<1year,<1year,<1year,1to 5,1to 5,1-5years,1-5years,<1year,70d<1year,1-5years,1-5years,1-5years,1to 5years,1-5years,1-5years,<1year,<1year,1-5years
r (reproductive traits),are there sub-populations?,yes,yes,unknown,yes,yes;by river,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,no,unknown,unknown,yes,yes,yes,yes,yes,yes,yes,unknown,no,no,yes,unknown,unknown,unknown,no,no,yes,unknown,yes,no,yes,unknown,yes,no,no,yes,yes,NA,NA,unknown,unknown,yes,no,unknown,yes,no,no,yes,yes,unknown,yes,unknown,unknown,yes,no,no,unknown,unknown,no,no,no,unknown,yes,yes,yes,unknown,unknown,yes,unknown,yes,no,no,no,no,unknown,unknown,NA,no,no,no,yes,no,yes,yes,yes,yes,no,yes,unknown,no,yes,no,unknown,unknown,yes,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,no,unknown,unknown,unknown,unknown,unknown
r (reproductive traits),can the sex ratio be altered by a stressor?,unknown,unknown,no,yes-if female dies a male takes over and becomes female,unknown,no,no,no,unknown,no,no,unknown,no,unknown,no,no,unknown,no,unknown,unknown,unknown,unknown,unknown,no,no,no,unknown,no,no,no,unknown,no,unknown,no,unknown,no,unknown,no,unknown,no,no,unknown,unknown,probably,probably,no,no,unknown,unknown,no,unknown,unknown,unknown,unknown,unknown,no,unknown,no,no,unknown,unknown,unknown,no,unknown,no,no,unknown,no,unknown,unknown,unknown,no,no,unknown,no,unknown,no,no,no,unknown,no,no,NA,no,no,no,unknown,no,unknown,unknown,unknown,unknown,no,unknown,no,no,unknown,no,no,no,unknown,unknown,no,no,no,unknown,no,no,no,unknown,no,no,no,no,no
r (reproductive traits),fecundity,100to 1000,1000-10000,>10000,>10000,>10000,>10000,>10000,>10000,1000-10000,>10000,>10000,>10000,>10000,100-1000,>10000,>10000,1000-10000,>10000,1000-10000,1000-10000,1000-10000,>10000,>10000,>10000,100-1000,100-1000,>10000,>10000,>10000,>10000,>10000,100-1000,1000-10000,>10000,>10000,100-1000,1000-10000,>10000,100to 1000,100-1000,100-1000,>10000,>10000,20-50,20-50,>10000,>10000,100-1000,>10000,>10000,100-1000,>10000to 9m,100to 1000,100-1000,100-1000,>10000,>10000,>10000,>10000,100-1000,>10000to 9m,>10000,>10000,unknown,100-1000,100-1000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,1000-10000,>10000,1000-10000,100-1000,100-1000,100-1000,>10000,>10000,>10000,100-1000,100-1000,100-1000,100-1000,1000-10000,100-1000,>10000,100-1000,>10000,>10000,100-1000,>10000,>10000,100-1000,100-1000,100-1000,>10000,>10000,1000-10000,1000-10000,>10000,1000-10000,>10000,100-1000,1000-10000,1000-10000,1000-10000,>10000,>10000,>10000,>10000,>10000,>10000
r (reproductive traits),feeding larva (post-hatching metamorphosis),hatch as small feeding juveniles,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,no larvae,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,na,na,feeding,feeding,feeding,feeding,feeding,na,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,na,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,na,feeding,feeding,feeding,feeding,feeding,feeding,na,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding,feeding
r (reproductive traits),global population size,>1m,>1m,NA,>100k,>1m,NA,NA,NA,>1m,NA,NA,>1m,NA,1to 10k,NA,NA,>1m,>100k,>1m,>1m,>1m,100k-1m,>1m,NA,10000-100000,>1m,>1m,NA,NA,NA,>1m,>1m,>1m,NA,100k-1m,100000-1m,>1m,NA,>1m,10000-100000,100000-1m,>1m,>1m,>1m,10000-100000,NA,NA,>1m,>1m,NA,>1m,>1m,>1m,>1m,>1m,NA,>1m,NA,NA,>1m,>1m,>1m,NA,>1m,10000-100000,100000-1m,>1m,NA,>1m,>1m,>1m,NA,NA,>1m,NA,>1m,100000-1m,NA,NA,>1m,NA,NA,>1m,NA,NA,NA,>1m,NA,>1m,100k to 1m,>1m,>1m,NA,>1m,NA,NA,>1m,NA,NA,NA,>1m,>1m,NA,NA,NA,>1m,NA,NA,NA,>1m,NA,NA,NA,NA,NA
r (reproductive traits),lifetime # reproductive opportunities,11to 25,26-50,11to 25,100,0to 1,11to 25,11to 25,11to 25,20to 50,11to 25,11to 25,unknown,11to 25,26-50,11to 25,11to 25,11to 25,100,100,100,100,51-100,11to 25,11to 25,26-50(males spawn all year;but not clear how many times females deposit eggs).,26-50(males spawn all year;but not clear how many times females deposit eggs).,51-100,NA,11to 25,11to 25,51-100,26-50(males spawn all year;but not clear how many times females deposit eggs).,51to 100,11to 25,51-100,26-50(males spawn all year;but not clear how many times females deposit eggs).,11to 25,11to 25,10to 20,26-50(males spawn all year;but not clear how many times females deposit eggs).,26-50(males spawn all year;but not clear how many times females deposit eggs).,26-50,26-50,20-50,20-50,11to 25,11to 25,2to 10,51-100,11to 25,11to 25,50-100,2to 10,2to 10,2to 10,11to 25,100,11to 25,11to 25,11to 25,50-100,50-100,11to 25,unknown,26-50(males spawn all year;but not clear how many times females deposit eggs).,26-50(males spawn all year;but not clear how many times females deposit eggs).,11to 25,11to 25,26-50,26-50,51to 100,11to 25,11to 25,26-50,11to 25,26-50,26-50(males spawn all year;but not clear how many times females deposit eggs).,26-50(males spawn all year;but not clear how many times females deposit eggs).,26-50(males spawn all year;but not clear how many times females deposit eggs).,2to 10,11to 25,11to 25,2to 10,26-50(males spawn all year;but not clear how many times females deposit eggs).,26-50(males spawn all year;but not clear how many times females deposit eggs).,26-50(males spawn all year;but not clear how many times females deposit eggs).,100,26-50(males spawn all year;but not clear how many times females deposit eggs).,26-50,11to 25,26to 50,26-50,26-50(males spawn all year;but not clear how many times females deposit eggs).,11to 25,11to 25,26-50(males spawn all year;but not clear how many times females deposit eggs).,11to 25,26-50(males spawn all year;but not clear how many times females deposit eggs).,11to 25,11to 25,26to 50,51-100,11to 25,11to 25,11to 25,11to 25,11to 25,11to 25,11to 25,11to 25,11to 25,11to 25,11to 25,11to 25,11to 25
r (reproductive traits),max age,10to 20,10to 20,1-5years,3months-1yr,3520-100,10-20years,5-10years,10-20years,10to 20,5-10years,5-10years,unknown,5-10years,1to 5,10-20years,10-20years,2to 10,20to 100,10to 20,10to 20,10to 20,10to 20,1510to 20,1-5years,1-5years,1-5years,2520-100,NA,5-10years,5-10years,41to 5,1-5years,2120to 100,1-5years,10to 20,1-5years,2to 10,10-20years,31to 5,1-5years,1-5years,3720to 100,20to 100,20-100yrs,20-100yrs,10-20years,10-20years,<3months,10-20yrs,10-20years,1to 5,2520-100,1to 5years,1to 5,1to 5,5-10years,10to 20,5-10years,5-10years,1to 5,2520-100,120>100years,10-20yrs,unknown,1-5years,1-5years,1210to 20,1-5years,1810to 20,4020-50,1910to 20,10-20years,1-5years,20to 100,1-5years,75to 10,1-5years,1-5years,1-5years,85to 10,10-20years,10-20years,1to 5,1-5years,1-5years,1-5years,1710to 20,1-5years,4820to 100,1to 5,1611to 25,1to 5,1-5years,1610to 20,10-20years,1-5years,1to 5,1-5years,1-5years,1-5years,65to 10,8620to 100,10-20years,10-20years,10-20years,3months to 1yr,10-20years,10-20years,10-20years,2010to 20,10-20years,10-20years,1-5years,5-10years,10-20years
r (reproductive traits),parental investment,egg care,spawner,egg-layer (unattended),egg care,spawner,egg-layer (unattended),egg-layer (unattended),egg-layer (unattended),egg care,egg-layer (unattended),egg-layer (unattended),spawner,egg-layer (unattended),egg care,egg-layer (unattended),egg-layer (unattended),spawner,spawner,spawner,spawner,spawner,spawner,spawner,egg-layer (unattended),egg care,egg care,egg layer (unattended),egg-layer (unattended),egg-layer (unattended),egg-layer (unattended),spawner,egg care,spawner,egg-layer (unattended),spawner,egg care,spawner,egg-layer (unattended),spawner,egg care,egg care,spawner,spawner,egg layer (unattended),egg layer (unattended),egg-layer (unattended),egg-layer (unattended),egg care,egg layer (unattended;demersalon flating objects),egg-layer (unattended),egg care,spawner,egg layer (unattended),egg care,egg care,egg-layer (unattended),spawner,egg-layer (unattended),egg-layer (unattended),live birth,spawner,spawner,egg-layer (unattended),spawner,egg care,egg care,spawner,egg-layer (unattended),spawner,spawner,egg layer (unattended),egg-layer (unattended),egg-layer (unattended),spawner,egg-layer (unattended),spawner,egg care,egg care,egg care,egg layer (unattended),egg-layer (unattended),egg-layer (unattended),egg care-mouth brooder,egg care,egg care,egg care,spawner,egg care,egg care,live birth,spawner,egg care,egg care,spawner,egg-layer (unattended),egg care,egg care,egg care,egg-layer (unattended),egg-layer (unattended),spawner,live birth,egg-layer (unattended),egg-layer (unattended),egg-layer (unattended),egg layer (unattended),egg-layer (unattended),egg-layer (unattended),egg-layer (unattended),spawner,egg-layer (unattended),egg-layer (unattended),egg-layer (unattended),egg-layer (unattended),egg-layer (unattended)
r (reproductive traits),post-birth/hatching maternal dependence,week to two months,nil,na,na,na,na,na,na,nil,na,na,na,na,week-month,na,na,na,na,na,na,na,nil,nil,na,na,na,na,na,na,na,na,na,nil,na,nil,na,na,na,nil,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,nil,na,na,nil,na,nil,na,na,na,na,na,na,na,na,na,na,nil,na,na,na,na,na,na,na,na,na,na,na,na,na,nil,nil,na,na,na,na,na,na,na,na,na,na,na,na,na
r (reproductive traits),reproductive strategy,sexual dioecious,sexual dioecious,sexual,sexual dioecious,sexual dioecious,sexual,sexual,sexual,sexual dioecious,sexual,sexual,sexual hermphrodite,sexual,sexual dioecious,sexual,sexual,sexual dioecious,sexual hermaphrodite,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual dioecious,sexual,sexual dioeciuos,sexual dioeciuos,sexual dioecious,sexual,sexual,sexual,sexual dioecious,sexual dioeciuos,sexual hermaphrodite,sexual,sexual dioecious,sexual dioeciuos,sexual dioecious,sexual,sexual dioecious,sexual dioeciuos,sexual dioeciuos,sexual hermaphrodite,sexual hermaphrodite,hermaphroditic,hermaphroditic,sexual,sexual,sexual hermaphrodite,sexual dioecious,sexual,sexual dioecious,sexual dioecious,sexual dioecious,sexual hermaphrodite,sexual hermaphrodite,sexual,sexual dioecious,sexual,sexual,sexual dioecious,sexual dioecious,sexual dioecious,sexual,sexual dioecious,sexual dioeciuos,sexual dioeciuos,sexual dioecious,sexual,sexual dioecious,sexual dioecious,sexual dioecious,sexual,sexual,sexual dioecious,sexual,sexual hermaphrodite,sexual dioeciuos,sexual dioeciuos,sexual dioeciuos,sexual dioecious,sexual,sexual,sexual dioecious,sexual dioeciuos,sexual dioeciuos,sexual dioeciuos,sexual hermaphrodite,sexual dioeciuos,sexual dioecious,sexual dioecious,sexual hermaphrodite,sexual dioecious,sexual dioeciuos,sexual hermphrodite,protogynous hermaphrodite,sexual dioeciuos,sexual dioecious,sexual dioeciuos,sexual,sexual,sexual hermaphrodite,sexual dioecious,sexual,sexual,sexual,sexual dioecious,sexual,sexual,sexual,sexual dioecious,sexual,sexual,sexual,sexual,sexual
spatial scale of species,depth (min/max),NA,NA,mesopelagic;bathypelagic,NA,NA,epipelagic;mesopelagic,mesopelagic;bathypelagic,epipelagic;mesopelagic,NA,mesopelagic,mesopelagic,NA,epipelagic;mesopelagic;bathypelagic,NA,epipelagic,epipelagic,NA,NA,NA,NA,NA,NA,NA,epipelagic,epipelagic,epipelagic,NA,mesopelagic,epipelagic;mesopelagic,mesopelagic,NA,epipelagic,NA,epipelagic;mesopelagic;bathypelagic,NA,epipelagic,NA,epipelagic,NA,epipelagic,epipelagic,NA,NA,mesopelagic,mesopelagic,epipelagic,epipelagic,NA,NA,mesopelagic;bathypelagic,NA,NA,NA,NA,NA,epipelagic,NA,epipelagic,epipelagic,NA,NA,NA,epipelagic,mesopelagic,epipelagic,epipelagic,NA,epipelagic,NA,NA,NA,epipelagic,epipelagic,NA,bathypelagic,NA,epipelagic,epipelagic,epipelagic,NA,epipelagic,mesopelagic,NA,epipelagic,epipelagic,epipelagic,NA,epipelagic,NA,NA,NA,NA,epipelagic,NA,epipelagic,epipelagic,NA,epipelagic,epipelagic,mesopelagic,NA,NA,bathypelagic,bathypelagic,epipelagic,NA,bathypelagic,abyssopelagic,bathypelagic,NA,epipelagic,epipelagic,mesopelagic,bathypelagic,epipelagic
spatial scale of species,eoo (range),>20000,>20000,>20000km2,100-4999,>20000,>20000km2,>20000km2,>20000km2,>20000,>20000km2,>20000km2,>20000,>20000km2,<99,>20000km2,>20000km2,>20000,100-4999,>20000,>20000,>20000,>20000,>20000,>20000km2,>20000,>20000,>20000,>20000km2,>20000km2,>20000km2,>20000,>20000,5000to 19999,>20000km2,>20000,>20000,>20000,>20000km2,>20000,>20000,>20000,>20000,>20000,>20000,>20000,>20000km2,>20000km2,>20000,>20000,>20000km2,>20000,>20000,5000-19999,>20000,>20000,>20000km2,>20000,>20000km2,>20000km2,>20000,>20000,>20000,>20000km2,>20000,>20000,>20000,>20000,>20000km2,>20000,>20000,>20000,>20000km2,>20000km2,>20000,>20000km2,>20000,>20000,>20000,>20000,>20000,>20000km2,>20000km2,>20000,>20000,>20000,>20000,5000-19999,>20000,100to 4999,5000-19999,>20000,>20000,>20000,>20000,>20000km2,>20000,>20000,>20000,>20000km2,>20000km2,>20000,>20000,>20000km2,>20000km2,>20000km2,>20000,>20000km2,>20000km2,>20000km2,>20000,>20000km2,>20000km2,>20000km2,>20000km2,>20000km2
spatial scale of species,zone,benthic;demersal,demersal;benthic,benthic,demersal,NA,neritic;demersal,benthic,neritic;demersal,benthic;neritic,benthic,benthic,benthic,benthic,neritic,neritic;demersal,neritic;demersal,demersal;benthic,demersal,demersal;benthic,demersal;benthic,demersal;benthic,benthic,NA,neritic;demersal,intertidal;benthic,intertidal;benthic,pelagic,demersal,neritic;benthic,demersal,neritic;pelagic,intertidal;benthic,demersal;benthic,demersal,benthic,intertidal;benthic,demersal;benthic,neritic;demersal,NA,intertidal;benthic,intertidal;benthic,demersal;benthic,pelagic;benthic,benthic,benthic,neritic;demersal,neritic;demersal,benthic,neritic;pelagic,demersal,benthic,pelagic,NA,benthic,benthic,neritic;benthic,demersal;benthic,neritic;benthic,neritic;benthic,benthic;neritic,benthic,benthic,neritic;demersal,pelagic,intertidal;benthic,intertidal;benthic,pelagic,neritic;demersal,demersal;benthic,demersal;benthic,demersal;benthic,neritic;demersal,neritic;demersal,demersal;benthic,demersal,demersal;benthic,intertidal;benthic,intertidal;benthic,intertidal;benthic,neritic;pelagic,neritic;demersal,demersal,benthic,intertidal;benthic,intertidal;benthic,intertidal;benthic,benthic;neritic,intertidal;benthic,benthic;demersal,benthic;neritic,demersal;benthic,demersal,intertidal;benthic,pelagic,neritic;demersal,intertidal;benthic,benthic,intertidal;benthic,neritic;demersal,demersal,demersal;benthic,demersal,benthic,benthic,demersal,neritic,benthic,benthic,benthic,pelagic,neritic;demersal,neritic;demersal,demersal,neritic;benthic,demersal
specialisation,across-stage dependent habitats + condition,coral reefs all stages,rocky to coral reef,soft slope,coral reef-anemone (26spp.),catadromous;sw-fw-sw,subtidal soft bottom;soft shelf;soft slope,soft shelf;soft slope,subtidal soft bottom;soft shelf;soft slope,coral reef;intereefal sediments,soft slope,soft slope,deep water,soft slope,estuarine-restricted,subtidal soft bottom,subtidal soft bottom,sea cucumber;reef,coral reef;live coral caves,coral reef,coral reef,coral reef,deep,fw to marine,soft shelf,subtidal hard bottom;rocky reef,rocky intertidal;subtidal hard bottom;rocky reef,brackish to oceanic,soft slope,hard shelf;hard slope;rocky reef,deep water;soft slope,surface water,subtidal hard bottom;rocky reef,coral reef,deep water;soft slope,deep,subtidal hard bottom;rocky reef,sea cucumber;starfish;reef,subtidal hard bottom;rocky reef,pelagic neritic,rocky intertidal;subtidal hard bottom,rocky intertidal;subtidal hard bottom;rocky reef,coral reef;live coral caves,inshorecoral reef;live coral caves,hard shelf;soft shelf;hard slope;soft slope,soft slope,subtidal soft bottom,unknown,coral reef,surface water,soft slope,rocky reefs,deep habitats,adults fw,coral reef,coral reef,subtidal soft bottom,coral reef,subtidal soft bottom,subtidal soft bottom,rocky reef;shallow habitats;seagrass,deep water,deep sea mount,soft slope,deep water,rocky intertidal;rocky reef,rocky intertidal;rocky reef,surface water,subtidal soft bottom;coral reef;rocky reef,coral reef,intereefal;coral reef,inshore to rocky reef,subtidal hard bottom;rocky reef;coral reef,subtidal soft bottom,coral reef,deep water;soft slope,inshore to rocky reef,intertidal mud,rocky intertidal;rocky reef;coral reef,rocky intertidal;subtidal hard bottom;rocky reef,fw-ocean-fw,subtidal soft bottom,soft slope,coral reef;live coral caves,rocky intertidal;rocky reef,rocky intertidal;rocky reef,rocky intertidal;subtidal hard bottom;rocky reef,rocky reef,rocky intertidal;rocky reef;coral reef,rocky reef-barrens habitat,rocky reef,coral reef;live coral caves,coral reef-rubble,rocky intertidal;rocky reef,deep water,subtidal soft bottom,kelp forest;subtidal hard bottom,coral reef;shallow water,rocky intertidal;subtidal hard bottom;rocky reef;coral reef,soft slope,soft slope,coral reef,rocky reef,soft slope,soft slope;hard slope,subtidal soft bottom;soft shelf,coral reef;shallow water,hard slope,deep soft benthic,soft slope;hard slope,surface water,subtidal soft bottom,subtidal soft bottom;subtidal hard bottom;rocky reef,soft slope,soft slope,subtidal soft bottom
specialisation,air-sea interface,no,no,no,yes (feeding),yes,no,no,no,no,no,no,no,no,no,no,no,no,yes (feeding),no,no,no,no,no,no,NA,NA,no,no,no,no,no,NA,no,no,no,NA,no,no,no,NA,NA,no,no,no,no,no,no,no,yes,no,no,no,NA,no,no,no,no,no,no,no,no,no,no,no,NA,NA,no,no,no,no,no,no,no,no,no,no,NA,NA,NA,no,no,no,no,NA,NA,NA,no,NA,no,no,no,no,NA,no,no,NA,no,NA,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
specialisation,dependent interspecific interactions,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes-sea cucumbers,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes-sea cucumbers;starfish,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
specialisation,extreme diet specialization,generalist,generalist (omnivore),generalist,specialist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,specialist,generalist,specialist,specialist,generalist,generalist,generalist,generalist,generalist,no,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,specialist-gonads and respiotatory tree of host,generalist,generalist;but 98diatoms,generalist,generalist,generalist,generalist,generalist (myxiniformes),generalist (myxiniformes),generalist,generalist,no,generalist,generalist,generalist,generalist,generalist,no,no,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist (omnivore),generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,algae,algae and detritus,algae and detritus,generalist,generalist,generalist,generalist,generalist,generalist-planktivore,generalist,generalist,generalist,algae,generalist,algae,generalist,generalist,generalist,generalist,generalist,generalist,generalist,no,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist,generalist
specialisation,light dependence,unknown,unknown,no,no,unknown,no,no,no,unknown,no,no,no,no,unknown,no,no,unknown,no,unknown,unknown,unknown,unknown,unknown,no,NA,NA,unknown,no,no,no,unknown,NA,unknown,no,unknown,NA,unknown,no,unknown,NA,NA,unknown,unknown,no,no,no,no,unknown,unknown,no,unknown,no,unknown,unknown,unknown,no,unknown,no,no,unknown,no,no,no,no,NA,NA,unknown,no,unknown,unknown,unknown,no,no,unknown,no,unknown,NA,NA,NA,no,no,no,yes suncompass,NA,NA,NA,unknown,NA,unknown,unknown,unknown,unknown,NA,no,no,NA,unknown,NA,no,no,unknown,unknown,no,no,no,unknown,no,no,no,unknown,no,no,no,no,no
specialisation,terrestrial and marine life stages,no,no,no,no,fw;sw,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
specialisation,within-stage dependent habitats + condition,coral reefs all stages,rocky to coral reef,soft slope,coral reef-anemone (26spp.),catadromous;sw-fw-sw,subtidal soft bottom;soft shelf;soft slope,soft shelf;soft slope,subtidal soft bottom;soft shelf;soft slope,coral reef;intereefal sediments,soft slope,soft slope,unknown,soft slope,estuarine-restricted,subtidal soft bottom,subtidal soft bottom,sea cucumber;reef,coral reef;live coral caves,coral reef,coral reef,coral reef,unknown,fw to marine,soft shelf,subtidal hard bottom;rocky reef,rocky intertidal;subtidal hard bottom;rocky reef,brackish to oceanic,soft slope,hard shelf;hard slope;rocky reef,deep water;soft slope,surface water,subtidal hard bottom;rocky reef,coral reef,deep water;soft slope,shallow to deep,subtidal hard bottom;rocky reef,sea cucumber;starfish;reef,subtidal hard bottom;rocky reef,pelagic neritic,rocky intertidal;subtidal hard bottom,rocky intertidal;subtidal hard bottom;rocky reef,inshore;seagrass;mangroves then reef,inshore;seagrass;mangroves then reef,hard shelf;soft shelf;hard slope;soft slope,soft slope,subtidal soft bottom,unknown,coral reef,surface water,soft slope,rocky reefs,shallow to deeper habitats,larvae in sw,coral reef,coral reef,subtidal soft bottom,intertidal move to deeperreef,subtidal soft bottom,subtidal soft bottom,rocky reef;shallow habitats;seagrass,nearshore to deeper,unknown,soft slope,unknown,rocky intertidal;rocky reef,rocky intertidal;rocky reef,surface water,subtidal soft bottom;coral reef;rocky reef,coral reef,estuaries;interreefal;coral reef,inshore to rocky reef,subtidal hard bottom;rocky reef;coral reef,subtidal soft bottom,coral reef,deep water;soft slope,inshore to rocky reef,intertidal mud,rocky intertidal;rocky reef;coral reef,rocky intertidal;subtidal hard bottom;rocky reef,fw-ocean-fw,subtidal soft bottom,soft slope,coral reef;live coral caves,rocky intertidal;rocky reef,rocky intertidal;rocky reef,rocky intertidal;subtidal hard bottom;rocky reef,rocky reef,rocky intertidal;rocky reef;coral reef,rocky reef-barrens habitat,rocky reef,shallow coral reef;live coral caves,coral reef-rubble,rocky intertidal;rocky reef,deep water,subtidal soft bottom,kelp forest;subtidal hard bottom,coral reef;shallow water,rocky intertidal;subtidal hard bottom;rocky reef;coral reef,soft slope,soft slope,coral reef,rocky reef,soft slope,soft slope;hard slope,subtidal soft bottom;soft shelf,coral reef;shallow water,hard slope,deep soft benthic,soft slope;hard slope,surface water,subtidal soft bottom,subtidal soft bottom;subtidal hard bottom;rocky reef,soft slope,soft slope,subtidal soft bottom
